Cod_Alu;Facultad;Escuela;Periodo;Ciclo;Sexo;Edad;Modalidad Academica
ALU_01378;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;26;Pregrado
ALU_01377;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;23;Pregrado
ALU_04423;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;23;Pregrado
ALU_07683;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;21;Pregrado
ALU_07671;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;21;Pregrado
ALU_10717;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;20;Pregrado
ALU_00466;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;26;Pregrado
ALU_04778;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;22;Pregrado
ALU_00925;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;24;Pregrado
ALU_11334;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;21;Pregrado
ALU_00552;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;5;F;28;Pregrado
ALU_04785;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;21;Pregrado
ALU_01799;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;34;Pregrado
ALU_04774;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;21;Pregrado
ALU_04780;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;23;Pregrado
ALU_04745;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;2;M;23;Pregrado
ALU_07132;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;4;F;22;Pregrado
ALU_07664;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;M;22;Pregrado
ALU_07673;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;3;F;22;Pregrado
ALU_13871;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;20;Pregrado
ALU_13872;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;18;Pregrado
ALU_13873;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;M;20;Pregrado
ALU_13874;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;19;Pregrado
ALU_13875;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;20;Pregrado
ALU_16508;ADMINISTRACION;ADM. DE TURISMO Y DE NEG. INTERNACIONALE;2026-A;1;F;21;Pregrado
